book_id,title,genre,cluster
0,Crimson Cartographer,Hard Science Fiction,1
1,Burning Atlas,Epic Fantasy,3
2,Pale Confession,Literary Fiction,0
3,Hollow Lighthouse,Cozy Mystery,2
4,Northern Archive,Cozy Mystery,2
5,Wandering Tide,Hard Science Fiction,1
6,Last Archive,Literary Fiction,0
7,Distant Reckoning,Cozy Mystery,2
8,Hidden Cipher,Hard Science Fiction,1
9,A Hourglass,Epic Fantasy,3
10,Northern Tide,Cozy Mystery,2
11,Quiet Reckoning,Hard Science Fiction,1
12,Distant Reckoning I,Literary Fiction,0
13,A Cartographer,Cozy Mystery,2
14,Northern Engine,Hard Science Fiction,1
15,Broken Observatory,Cozy Mystery,2
16,The Harvest,Epic Fantasy,3
17,Broken Threshold,Hard Science Fiction,1
18,Wandering Harvest,Epic Fantasy,3
19,Pale Lighthouse,Cozy Mystery,2
20,Wandering Atlas,Cozy Mystery,2
21,Broken Threshold I,Epic Fantasy,3
22,Northern Confession,Epic Fantasy,3
23,Wandering Inheritance,Epic Fantasy,3
24,Pale Atlas,Epic Fantasy,3
25,Burning Garden,Literary Fiction,0
26,Last Garden,Hard Science Fiction,1
27,Distant Garden,Epic Fantasy,3
28,Quiet Orchard,Hard Science Fiction,1
29,Broken Orchard,Literary Fiction,0
30,Final Cartographer,Cozy Mystery,2
31,Final Archive,Epic Fantasy,3
32,Quiet Garden,Cozy Mystery,2
33,Burning Archive,Epic Fantasy,3
34,A Lighthouse,Cozy Mystery,2
35,A Meridian,Literary Fiction,0
36,A Garden,Epic Fantasy,3
37,Distant Cipher,Hard Science Fiction,1
38,Hollow Atlas,Epic Fantasy,3
39,Pale Inheritance,Epic Fantasy,3
40,Silver Threshold,Epic Fantasy,3
41,Distant Reckoning II,Literary Fiction,0
42,Quiet Archive,Epic Fantasy,3
43,Quiet Cartographer,Cozy Mystery,2
44,Northern Archive I,Hard Science Fiction,1
45,Hidden Garden,Epic Fantasy,3
46,Quiet Threshold,Epic Fantasy,3
47,Crimson Hourglass,Cozy Mystery,2
48,Wandering Confession,Literary Fiction,0
49,The Garden,Cozy Mystery,2
50,Hollow Migration,Literary Fiction,0
51,Pale Cipher,Literary Fiction,0
52,Last Lighthouse,Literary Fiction,0
53,Burning Reckoning,Literary Fiction,0
54,A Threshold,Epic Fantasy,3
55,Burning Cipher,Hard Science Fiction,1
56,Silver Confession,Literary Fiction,0
57,Distant Threshold,Literary Fiction,0
58,Burning Lighthouse,Hard Science Fiction,1
59,Pale Harvest,Hard Science Fiction,1
60,Northern Confession I,Hard Science Fiction,1
61,Crimson Cartographer I,Epic Fantasy,3
62,Hollow Archive,Epic Fantasy,3
63,Hidden Reckoning,Cozy Mystery,2
64,Quiet Archive I,Epic Fantasy,3
65,Northern Engine I,Hard Science Fiction,1
66,Distant Reckoning III,Literary Fiction,0
67,The Reckoning,Hard Science Fiction,1
68,Wandering Threshold,Literary Fiction,0
69,Broken Threshold II,Epic Fantasy,3
70,Hidden Cipher I,Literary Fiction,0
71,A Meridian I,Hard Science Fiction,1
72,Burning Confession,Literary Fiction,0
73,Distant Atlas,Epic Fantasy,3
74,Last Lighthouse I,Literary Fiction,0
75,Hidden Garden I,Cozy Mystery,2
76,Crimson Reckoning,Epic Fantasy,3
77,Silver Cartographer,Cozy Mystery,2
78,Last Archive I,Epic Fantasy,3
79,Silver Hourglass,Epic Fantasy,3
80,Wandering Migration,Epic Fantasy,3
81,Last Orchard,Cozy Mystery,2
82,Wandering Tide I,Cozy Mystery,2
83,Final Reckoning,Cozy Mystery,2
84,Hollow Engine,Epic Fantasy,3
85,Hollow Migration I,Hard Science Fiction,1
86,Pale Lighthouse I,Epic Fantasy,3
87,Last Reckoning,Epic Fantasy,3
88,Broken Threshold III,Hard Science Fiction,1
89,Crimson Migration,Hard Science Fiction,1
90,Burning Migration,Cozy Mystery,2
91,Silver Inheritance,Epic Fantasy,3
92,Burning Cartographer,Literary Fiction,0
93,Broken Orchard I,Literary Fiction,0
94,Quiet Cipher,Literary Fiction,0
95,Pale Tide,Hard Science Fiction,1
96,Hollow Engine I,Literary Fiction,0
97,Hidden Harvest,Cozy Mystery,2
98,Northern Archive II,Cozy Mystery,2
99,Wandering Cipher,Epic Fantasy,3
100,Last Engine,Cozy Mystery,2
101,Last Harvest,Hard Science Fiction,1
102,Wandering Lighthouse,Epic Fantasy,3
103,Crimson Lighthouse,Epic Fantasy,3
104,Pale Lighthouse II,Cozy Mystery,2
105,Silver Engine,Cozy Mystery,2
106,Northern Atlas,Hard Science Fiction,1
107,Broken Orchard II,Cozy Mystery,2
108,Pale Cipher I,Literary Fiction,0
109,Northern Threshold,Cozy Mystery,2
110,Crimson Reckoning I,Epic Fantasy,3
111,Pale Cartographer,Epic Fantasy,3
112,The Observatory,Hard Science Fiction,1
113,Last Confession,Hard Science Fiction,1
114,Wandering Migration I,Cozy Mystery,2
115,Burning Meridian,Hard Science Fiction,1
116,Distant Engine,Cozy Mystery,2
117,Silver Harvest,Literary Fiction,0
118,A Harvest,Literary Fiction,0
119,Hollow Threshold,Literary Fiction,0
